,Note: The data and information in this document is reflective of a hypothetical situation and client. This document is to be used for KPMG Virtual Internship purposes only. ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
128,Ricki,Dobrowski,Male,13,1975-03-10,Civil Engineer,Manufacturing,Mass Customer,N,Yes,9,8 Eggendart Pass,2835,NSW,Australia,1,1.08,1.35,1.35,1.1475,127.0,127,1.25
129,Georgetta,Lovett,Female,42,1940-02-02,Editor,Retail,Mass Customer,N,No,12,1 Bluejay Place,4405,QLD,Australia,1,0.93,0.93,0.93,0.7905,127.0,127,1.25
130,Bambi,Cogger,Female,51,1990-07-12,Design Engineer,Retail,Affluent Customer,N,Yes,5,28970 Monument Lane,2560,NSW,Australia,7,0.6,0.75,0.75,0.75,127.0,127,1.25
131,Aurie,Rhead,Female,78,1962-07-28,Geological Engineer,Manufacturing,Affluent Customer,N,Yes,5,235 Mendota Court,2650,NSW,Australia,2,1.01,1.2625,1.2625,1.2625,127.0,127,1.25
132,Farris,Skettles,Male,38,1965-07-03,Payment Adjustment Coordinator,,Mass Customer,N,Yes,13,49309 Redwing Lane,3240,VIC,Australia,7,0.59,0.7374999999999999,0.7374999999999999,0.626875,132.0,132,1.2484375
133,Sharline,Abyss,Female,11,1960-03-18,,,Mass Customer,N,Yes,15,367 Bay Point,4011,QLD,Australia,4,0.56,0.7000000000000001,0.7000000000000001,0.5950000000000001,133.0,133,1.2375
134,Nowell,Preddy,Male,29,1985-07-23,,Manufacturing,Mass Customer,N,No,9,932 Glendale Avenue,2173,NSW,Australia,9,0.95,0.95,1.1875,1.009375,133.0,133,1.2375
135,Lacy,Drance,Female,27,1978-02-05,Graphic Designer,Manufacturing,Affluent Customer,N,Yes,14,492 Waywood Lane,2750,NSW,Australia,8,1.1,1.375,1.375,1.375,133.0,133,1.2375
136,Padraig,Snel,Male,89,1970-11-08,Staff Accountant II,,Mass Customer,N,No,19,12683 Mifflin Point,2114,NSW,Australia,7,0.8,0.8,1.0,0.85,133.0,133,1.2375
137,Malorie,Votier,Female,90,1990-05-29,Graphic Designer,Manufacturing,Affluent Customer,N,No,4,6160 Weeping Birch Hill,4509,QLD,Australia,5,0.42,0.42,0.525,0.525,133.0,133,1.2375
138,Shepperd,Ricards,Male,28,1967-09-27,Social Worker,Health,Mass Customer,N,Yes,16,7 Oakridge Lane,2284,NSW,Australia,4,1.01,1.2625,1.2625,1.0731249999999999,133.0,133,1.2375
139,Daryl,Pauncefort,Female,12,1979-06-18,Community Outreach Specialist,Financial Services,Mass Customer,N,Yes,12,0 Dexter Parkway,2380,NSW,Australia,3,0.85,1.0625,1.0625,0.903125,133.0,133,1.2375
140,Norina,Blakeway,Female,60,1980-02-11,Programmer Analyst II,Property,Mass Customer,N,Yes,3,75813 Lawn Lane,3081,VIC,Australia,8,0.77,0.9625,0.9625,0.818125,133.0,133,1.2375
141,My,Chaston,Male,92,1966-07-16,Desktop Support Technician,Manufacturing,Affluent Customer,N,Yes,16,74613 Northport Park,3765,VIC,Australia,9,0.98,1.225,1.53125,1.53125,133.0,133,1.2375
142,Isak,Bergstram,Male,14,2001-03-08,Pharmacist,Health,Affluent Customer,N,Yes,15,68 Karstens Pass,2176,NSW,Australia,9,0.65,0.8125,1.015625,1.015625,142.0,142,1.23515625
143,Grannie,Cracker,Male,28,1949-03-06,VP Marketing,Retail,Mass Customer,N,Yes,20,87254 Hermina Pass,4217,QLD,Australia,8,0.96,1.2,1.2,1.02,142.0,142,1.23515625
144,Welby,Lourenco,Male,6,1975-12-27,Senior Cost Accountant,Financial Services,High Net Worth,N,Yes,17,801 Atwood Alley,2138,NSW,Australia,9,0.91,1.1375,1.421875,1.421875,144.0,144,1.234375
145,Glenn,Casbourne,Female,4,1981-08-08,Senior Editor,Manufacturing,Mass Customer,N,No,6,2 Morrow Alley,4207,QLD,Australia,1,0.57,0.57,0.57,0.48449999999999993,144.0,144,1.234375
146,Nadiya,Balasini,Female,40,1950-11-05,Sales Associate,Financial Services,Mass Customer,N,No,15,92934 Mallory Trail,2164,NSW,Australia,9,1.08,1.08,1.35,1.1475,146.0,146,1.225
147,Tyne,Coate,Female,82,1965-07-15,Developer II,Manufacturing,Mass Customer,N,No,17,90820 Thackeray Street,2218,NSW,Australia,8,0.51,0.51,0.6375,0.541875,146.0,146,1.225
148,Christie,Anders,Male,38,1969-10-02,VP Marketing,Retail,Mass Customer,N,No,16,48 Ludington Plaza,2153,NSW,Australia,10,0.88,0.88,1.1,0.935,146.0,146,1.225
149,Agnella,Capener,Female,58,1969-05-21,Teacher,Health,High Net Worth,N,No,19,49185 Derek Circle,3977,VIC,Australia,6,0.6,0.6,0.6,0.6,146.0,146,1.225
150,Bernardine,Delmonti,Female,39,1971-03-31,,Property,Mass Customer,N,No,17,0721 Meadow Ridge Pass,2540,NSW,Australia,8,0.99,0.99,0.99,0.8415,146.0,146,1.225
151,Daisy,Spowart,Female,60,1967-12-18,Staff Accountant I,Health,Affluent Customer,N,Yes,4,115 Westridge Road,4570,QLD,Australia,3,0.94,1.1749999999999998,1.1749999999999998,1.1749999999999998,146.0,146,1.225
152,Denys,Minshall,Female,30,1961-12-26,Environmental Tech,Manufacturing,Affluent Customer,N,Yes,14,7 Myrtle Lane,2324,NSW,Australia,8,0.56,0.7000000000000001,0.7000000000000001,0.7000000000000001,152.0,152,1.221875
153,Archibald,Blessed,Male,61,1969-02-10,VP Sales,Financial Services,Mass Customer,N,Yes,18,7795 Memorial Drive,2016,NSW,Australia,11,0.75,0.9375,1.171875,0.99609375,153.0,153,1.21875
154,Feodor,Englishby,Male,54,1961-08-14,Account Coordinator,Health,Mass Customer,N,No,11,24695 Boyd Road,3201,VIC,Australia,5,0.48,0.48,0.48,0.408,154.0,154,1.203125
155,Skippie,Yearsley,Male,6,1956-09-04,Compensation Analyst,Financial Services,Mass Customer,N,No,9,95306 John Wall Avenue,4350,QLD,Australia,5,0.51,0.51,0.51,0.4335,155.0,155,1.2
156,Bill,,Female,74,1963-04-24,Human Resources Assistant II,Property,Mass Customer,N,Yes,19,6704 Pine View Lane,2170,NSW,Australia,9,0.97,1.2125,1.515625,1.28828125,155.0,155,1.2
157,Tessa,Friese,Female,89,1976-10-24 00:00:00,Health Coach II,Financial Services,Mass Customer,N,No,21,98158 Alpine Point,4212,QLD,Australia,9,0.58,0.58,0.725,0.61625,157.0,157,1.1953125
158,Roseanne,Caruth,Female,16,1957-05-25,Programmer Analyst III,Health,Mass Customer,N,No,7,33652 Lyons Alley,2763,NSW,Australia,9,0.73,0.73,0.9125,0.775625,158.0,158,1.1875
159,Tedra,Goodbanne,Female,4,1978-01-15,Senior Quality Engineer,,Mass Customer,N,Yes,6,8 Debs Road,3934,VIC,Australia,9,0.99,1.2375,1.546875,1.3148437499999999,158.0,158,1.1875
160,Roberto,Harme,Male,27,1951-06-11,Environmental Tech,,High Net Worth,N,No,10,101 Starling Pass,2564,NSW,Australia,9,0.71,0.71,0.8875,0.8875,158.0,158,1.1875
161,Nichole,Leisman,Male,37,1986-08-07,Geologist III,Property,Affluent Customer,N,No,4,35151 Bunker Hill Crossing,2068,NSW,Australia,12,0.78,0.78,0.9750000000000001,0.9750000000000001,158.0,158,1.1875
162,Amil,Ennor,Female,23,1995-08-04,Health Coach II,Health,Mass Customer,N,Yes,10,2093 Amoth Pass,3109,VIC,Australia,11,0.63,0.7875,0.984375,0.83671875,158.0,158,1.1875
163,Shawna,Hinrichsen,Female,60,1969-08-27,Assistant Professor,Manufacturing,Affluent Customer,N,Yes,9,57343 Eagan Avenue,2326,NSW,Australia,2,0.64,0.8,0.8,0.8,163.0,163,1.18203125
164,Fonsie,Levane,Male,96,1951-07-10,Account Representative III,,High Net Worth,N,Yes,19,83 Armistice Terrace,4011,QLD,Australia,3,0.89,1.1125,1.390625,1.390625,163.0,163,1.18203125
165,Emilie,Brody,Female,3,1979-05-22,Director of Sales,,Mass Customer,N,Yes,3,5388 Burrows Alley,2073,NSW,Australia,11,0.45,0.5625,0.703125,0.59765625,163.0,163,1.18203125
166,Robert,Corkill,Male,55,1976-03-12,Clinical Specialist,Health,Mass Customer,N,No,4,5612 Toban Point,2227,NSW,Australia,10,0.59,0.59,0.7374999999999999,0.626875,166.0,166,1.175
167,Elvira,Kurten,Female,65,1973-03-18,Assistant Professor,Financial Services,High Net Worth,N,No,12,65 Ridge Oak Court,2471,NSW,Australia,3,0.97,0.97,0.97,0.97,166.0,166,1.175
168,Juliana,Mitchenson,Female,55,1989-01-05,Environmental Tech,Manufacturing,Mass Customer,N,Yes,8,74 Russell Terrace,4350,QLD,Australia,4,0.71,0.8875,0.8875,0.7543749999999999,166.0,166,1.175
169,Regine,Bownes,Female,99,1952-07-01,Senior Developer,Retail,Affluent Customer,N,No,15,255 Loeprich Lane,3752,VIC,Australia,9,0.53,0.53,0.6625000000000001,0.6625000000000001,166.0,166,1.175
170,Abner,Fraschetti,Male,33,1986-01-23,Staff Scientist,Argiculture,Affluent Customer,N,No,13,67 Northport Avenue,3805,VIC,Australia,7,0.88,0.88,0.88,0.88,166.0,166,1.175
171,Alvira,Coulman,Female,42,1955-06-05,Account Representative II,,Affluent Customer,N,No,14,823 Wayridge Trail,2205,NSW,Australia,9,0.48,0.48,0.6,0.6,166.0,166,1.175
172,Sawyer,Sponton,Male,36,1956-02-22,Help Desk Technician,Property,Mass Customer,N,Yes,10,5 Golf Terrace,2126,NSW,Australia,11,0.64,0.8,1.0,0.85,166.0,166,1.175
173,Feodor,Vickers,Male,60,1989-11-18,VP Quality Control,Financial Services,Mass Customer,N,Yes,4,40809 Truax Way,2209,NSW,Australia,6,0.48,0.6,0.6,0.51,173.0,173,1.171875
174,Paten,Cayet,Male,56,1995-02-19,Assistant Manager,Manufacturing,Affluent Customer,N,Yes,16,1398 Burning Wood Way,3850,VIC,Australia,1,1.09,1.3625,1.3625,1.3625,174.0,174,1.16875
175,Loria,Tappington,Female,72,1955-09-06,Research Assistant IV,Property,Mass Customer,N,No,5,3920 Swallow Junction,3038,VIC,Australia,8,0.82,0.82,0.82,0.697,174.0,174,1.16875
176,Tanya,Kiefer,Female,54,1992-07-05,Speech Pathologist,Telecommunications,High Net Worth,N,No,7,4 Warner Park,2146,NSW,Australia,9,0.65,0.65,0.8125,0.8125,174.0,174,1.16875
177,Devonne,Alderwick,Female,79,1939-01-29,Research Associate,,High Net Worth,N,Yes,9,534 Lien Lane,3122,VIC,Australia,7,0.75,0.9375,0.9375,0.9375,177.0,177,1.1625
178,Omero,McDonand,Male,51,1952-04-01,Software Consultant,Manufacturing,Mass Customer,N,No,16,48 Shoshone Park,2066,NSW,Australia,9,0.46,0.46,0.5750000000000001,0.48875,177.0,177,1.1625
179,Iain,Haversham,Male,92,1950-12-26,Sales Representative,Retail,Mass Customer,N,Yes,13,170 Briar Crest Place,2120,NSW,Australia,10,0.42,0.525,0.65625,0.5578124999999999,177.0,177,1.1625
180,Keriann,Newham,Female,71,1975-03-26,Assistant Manager,Financial Services,Mass Customer,N,No,5,0193 Northland Street,4179,QLD,Australia,9,1.03,1.03,1.2875,1.094375,177.0,177,1.1625
181,Conroy,Rappaport,Male,39,1965-01-08,Assistant Manager,Health,High Net Worth,N,No,9,5219 Pearson Drive,2148,NSW,Australia,9,0.4,0.4,0.5,0.5,181.0,181,1.158125
182,Dorian,Rustman,Male,78,1974-12-09,Junior Executive,Manufacturing,Mass Customer,N,No,18,6156 Summit Center,4352,QLD,Australia,7,0.64,0.64,0.64,0.544,181.0,181,1.158125
183,Quillan,Guinane,Male,36,1946-03-24,Community Outreach Specialist,,High Net Worth,N,Yes,21,803 Badeau Point,2177,NSW,Australia,8,0.94,1.1749999999999998,1.1749999999999998,1.1749999999999998,181.0,181,1.158125
184,Harlin,Mazin,Male,34,1974-03-25,Computer Systems Analyst I,Manufacturing,Mass Customer,N,Yes,13,735 Westridge Road,2454,NSW,Australia,7,1.07,1.3375000000000001,1.3375000000000001,1.136875,181.0,181,1.158125
185,Eustacia,Dornan,Female,68,1985-09-02,Account Representative IV,Property,Mass Customer,N,No,5,1190 Hanson Street,3806,VIC,Australia,9,0.54,0.54,0.675,0.57375,181.0,181,1.158125
186,Maury,Galego,Male,65,1992-07-27,Social Worker,Health,High Net Worth,N,Yes,3,370 Division Junction,3032,VIC,Australia,10,0.68,0.8500000000000001,1.0625,1.0625,181.0,181,1.158125
187,Reggie,Kernar,Female,26,1971-11-28,Senior Editor,Financial Services,High Net Worth,N,No,17,90 Northport Hill,2228,NSW,Australia,10,1.06,1.06,1.3250000000000002,1.3250000000000002,181.0,181,1.158125
188,Brigitte,Whellams,Female,67,1973-05-09 00:00:00,Payment Adjustment Coordinator,,Mass Customer,N,Yes,17,77785 Veith Lane,2766,NSW,Australia,8,0.53,0.6625000000000001,0.6625000000000001,0.5631250000000001,188.0,188,1.15625
189,Kinna,Kollasch,Female,7,1986-11-09,Safety Technician I,Property,High Net Worth,N,No,9,232 Knutson Park,4060,QLD,Australia,10,0.77,0.77,0.9625,0.9625,188.0,188,1.15625
190,Maurizio,Comi,Male,74,1996-05-30,VP Product Management,IT,Affluent Customer,N,No,10,25805 Eagan Place,2766,NSW,Australia,9,0.72,0.72,0.8999999999999999,0.8999999999999999,190.0,190,1.15546875
191,Elbertina,Fendley,Female,32,1992-03-27,Physical Therapy Assistant,Property,Affluent Customer,N,No,8,743 Debra Court,2117,NSW,Australia,11,0.6,0.6,0.75,0.75,191.0,191,1.15
192,Franklin,Wohler,Male,55,1938-10-16,Clinical Specialist,Health,Mass Customer,N,Yes,7,6966 Delladonna Street,2250,NSW,Australia,8,0.71,0.8875,0.8875,0.7543749999999999,191.0,191,1.15
193,Allyson,Petchell,Female,16,1970-03-19,Human Resources Manager,Telecommunications,High Net Worth,N,No,10,98221 Pennsylvania Place,2170,NSW,Australia,8,0.78,0.78,0.78,0.78,191.0,191,1.15
194,Ermentrude,Heindle,Female,47,1969-08-02,GIS Technical Architect,Argiculture,Mass Customer,N,No,7,307 Knutson Center,2226,NSW,Australia,10,0.7,0.7,0.875,0.74375,191.0,191,1.15
195,Alanna,Lerway,Female,26,1944-01-05,Dental Hygienist,Health,Mass Customer,N,Yes,11,593 Alpine Drive,3195,VIC,Australia,12,0.85,1.0625,1.328125,1.12890625,195.0,195,1.1475
196,Vincent,Jopke,Male,6,1972-03-10,Analog Circuit Design manager,Property,Affluent Customer,N,No,16,45788 Stang Plaza,3687,VIC,Australia,3,1.1,1.1,1.1,1.1,195.0,195,1.1475
197,Mandie,Jeffryes,Female,60,1981-02-16,Business Systems Development Analyst,,High Net Worth,N,No,7,96515 Di Loreto Pass,4109,QLD,Australia,9,0.72,0.72,0.8999999999999999,0.8999999999999999,195.0,195,1.1475
198,Collete,Dory,Female,66,1990-01-09,Information Systems Manager,,High Net Worth,N,No,2,8625 Dakota Plaza,2210,NSW,Australia,9,0.66,0.66,0.8250000000000001,0.8250000000000001,195.0,195,1.1475
199,Leonid,Dorricott,Male,44,1993-11-18,Environmental Tech,,Affluent Customer,N,No,3,02 Hoffman Road,2448,NSW,Australia,3,0.9,0.9,0.9,0.9,195.0,195,1.1475
200,Charlena,Berney,Female,55,1966-01-02,Geological Engineer,Manufacturing,High Net Worth,N,Yes,12,496 Logan Center,4207,QLD,Australia,4,0.75,0.9375,0.9375,0.9375,195.0,195,1.1475
201,Alfonso,Massel,Male,70,1940-12-05,,,Mass Customer,N,Yes,13,6065 Talisman Crossing,3977,VIC,Australia,7,0.94,1.1749999999999998,1.1749999999999998,0.9987499999999998,201.0,201,1.1421875
202,Engracia,Dobbs,Female,84,1959-04-19,,Health,Mass Customer,N,No,15,72 Eliot Place,2250,NSW,Australia,8,0.86,0.86,1.075,0.91375,202.0,202,1.140625
203,Glyn,,Male,47,1945-02-13,General Manager,Manufacturing,Affluent Customer,N,Yes,21,67 Bluejay Plaza,2300,NSW,Australia,9,1.03,1.2875,1.609375,1.609375,202.0,202,1.140625
204,Rosemonde,Cartwight,Female,44,1952-10-20,Analyst Programmer,Retail,Mass Customer,N,Yes,7,518 Paget Hill,4605,QLD,Australia,1,0.64,0.8,0.8,0.68,202.0,202,1.140625
205,Alano,Satchel,Male,2,1998-11-26,Recruiting Manager,,Mass Customer,N,No,2,87107 Shelley Crossing,2429,NSW,Australia,7,0.59,0.59,0.59,0.5015,202.0,202,1.140625
206,Corrine,Baribal,Female,19,1948-10-12,Senior Sales Associate,,Affluent Customer,N,Yes,12,3 Mallory Circle,2170,NSW,Australia,8,0.6,0.75,0.75,0.75,206.0,206,1.1375
207,Benoit,Harniman,Male,31,1976-08-27,Research Assistant II,Telecommunications,Affluent Customer,N,No,9,1582 Bashford Drive,4018,QLD,Australia,7,1.0,1.0,1.0,1.0,206.0,206,1.1375
208,Jeanne,Darte,Female,70,1955-08-18,,,Mass Customer,N,Yes,11,3 Homewood Park,2756,NSW,Australia,7,1.02,1.275,1.275,1.08375,206.0,206,1.1375
209,Jenelle,Fearnill,Female,12,1958-01-03,Social Worker,Health,High Net Worth,N,No,19,06 Old Gate Park,2144,NSW,Australia,9,0.48,0.48,0.6,0.6,206.0,206,1.1375
210,Tannie,Gambrell,Male,92,1967-05-25,Financial Analyst,Financial Services,Affluent Customer,N,No,4,49 Surrey Point,4710,QLD,Australia,4,0.52,0.52,0.65,0.65,206.0,206,1.1375
211,Mick,Macewan,Male,32,1967-12-12,Senior Cost Accountant,Financial Services,Mass Customer,N,No,16,59254 Northland Alley,2032,NSW,Australia,10,0.7,0.7,0.875,0.74375,206.0,206,1.1375
212,Abbie,Oldman,Male,82,1983-11-26,,Health,High Net Worth,N,Yes,5,4 North Drive,2168,NSW,Australia,8,0.57,0.7124999999999999,0.8906249999999999,0.8906249999999999,212.0,212,1.136875
213,Tabbie,Curner,Male,12,1997-03-13,Chief Design Engineer,Retail,Mass Customer,N,No,6,89 Parkside Street,3021,VIC,Australia,6,0.69,0.69,0.69,0.5864999999999999,212.0,212,1.136875
214,Shane,Killen,Male,28,1956-10-16,Account Executive,Entertainment,High Net Worth,N,No,10,7 Hazelcrest Place,2165,NSW,Australia,8,0.63,0.63,0.63,0.63,212.0,212,1.136875
215,Roberta,Goodale,Female,9,1947-02-28,Information Systems Manager,Property,Mass Customer,N,Yes,22,013 David Junction,4211,QLD,Australia,7,0.93,1.1625,1.1625,0.988125,215.0,215,1.12890625
216,Kippy,Barabisch,Male,11,2000-04-07,Legal Assistant,Manufacturing,Mass Customer,N,No,4,840 Graceland Street,2125,NSW,Australia,11,1.09,1.09,1.3625,1.158125,215.0,215,1.12890625
217,Rosalinde,Cubuzzi,Female,50,1997-09-04,Business Systems Development Analyst,,Mass Customer,N,No,5,6 Lotheville Trail,2444,NSW,Australia,7,0.72,0.72,0.72,0.612,215.0,215,1.12890625
218,Cami,Barnbrook,Female,8,1963-01-01,Occupational Therapist,Health,Affluent Customer,N,Yes,18,890 Truax Lane,4285,QLD,Australia,2,0.82,1.025,1.025,1.025,218.0,218,1.12625
219,Dorian,Stollen,Male,78,1980-02-16,Statistician I,Financial Services,Mass Customer,N,Yes,18,72922 Cambridge Terrace,2026,NSW,Australia,11,0.93,1.1625,1.453125,1.23515625,219.0,219,1.125
220,Hunfredo,Hayball,Male,7,1994-04-15,,IT,Affluent Customer,N,No,3,60461 Esch Avenue,2227,NSW,Australia,8,0.93,0.93,0.93,0.93,219.0,219,1.125
221,Giorgi,O'Shirine,Male,68,1981-06-20,Payment Adjustment Coordinator,Retail,Mass Customer,N,Yes,15,6 Novick Alley,3934,VIC,Australia,8,0.96,1.2,1.2,1.02,219.0,219,1.125
222,Kort,Disley,Male,66,1979-02-05 00:00:00,Technical Writer,Health,Mass Customer,N,Yes,7,76 Donald Trail,2160,NSW,Australia,9,0.67,0.8375,1.046875,0.8898437499999999,219.0,219,1.125
223,Gretna,Thredder,Female,62,1966-01-08,,,Mass Customer,N,No,18,1607 Westridge Drive,2203,NSW,Australia,11,0.57,0.57,0.7124999999999999,0.6056249999999999,223.0,223,1.115625
224,Tobiah,Heinsius,Male,66,2000-01-25,Chief Design Engineer,Health,High Net Worth,N,No,9,3630 Dawn Crossing,2446,NSW,Australia,8,0.43,0.43,0.43,0.43,223.0,223,1.115625
225,Wallace,Newart,Male,91,1977-12-06 00:00:00,,IT,Mass Customer,N,No,17,29007 Dapin Street,4650,QLD,Australia,1,0.45,0.45,0.5625,0.47812499999999997,223.0,223,1.115625
226,Hersh,Stubbert,Male,0,2000-06-25,Technical Writer,Manufacturing,Mass Customer,N,Yes,15,68 Fairfield Street,4115,QLD,Australia,8,0.57,0.7124999999999999,0.7124999999999999,0.6056249999999999,226.0,226,1.1125
227,Hatti,Carletti,U,35,,Legal Assistant,IT,Affluent Customer,N,Yes,11,6 Iowa Center,2519,NSW,Australia,9,0.95,1.1875,1.484375,1.484375,226.0,226,1.1125
228,Wyn,Saynor,Male,54,1964-06-22,Cost Accountant,Financial Services,High Net Worth,N,No,8,5 Briar Crest Road,2099,NSW,Australia,9,0.8,0.8,1.0,1.0,226.0,226,1.1125
229,Maribeth,Stivani,Female,46,1954-11-13,Associate Professor,Financial Services,Mass Customer,N,No,7,945 Bobwhite Court,2430,NSW,Australia,8,0.81,0.81,0.81,0.6885,226.0,226,1.1125
230,Abigale,Sives,Female,48,1963-12-13,VP Marketing,Health,Affluent Customer,N,Yes,14,2 Glendale Center,4207,QLD,Australia,4,0.67,0.8375,0.8375,0.8375,230.0,230,1.109375
231,Gothart,Artus,Male,52,1978-05-31,Health Coach IV,Health,Mass Customer,N,Yes,14,21824 Northridge Alley,2117,NSW,Australia,10,1.0,1.25,1.5625,1.328125,231.0,231,1.105
232,Danny,Bodle,Male,50,1943-09-24,Statistician I,Manufacturing,Mass Customer,N,Yes,18,68 Anthes Park,2007,NSW,Australia,9,0.55,0.6875,0.859375,0.73046875,231.0,231,1.105
233,Vittorio,Boxen,Male,94,1965-08-15,Mechanical Systems Engineer,,Mass Customer,N,No,14,3 Anthes Court,2148,NSW,Australia,9,0.86,0.86,1.075,0.91375,233.0,233,1.1
234,Deborah,Petrovsky,Female,53,1943-07-14,Teacher,Property,Mass Customer,N,No,16,036 Redwing Street,2011,NSW,Australia,7,0.74,0.74,0.74,0.629,233.0,233,1.1
235,Agace,Hedge,Female,25,1997-07-23,Media Manager II,,Mass Customer,N,Yes,13,92 Petterle Place,3429,VIC,Australia,8,1.09,1.3625,1.3625,1.158125,233.0,233,1.1
236,Rolland,Esmead,Male,41,1940-07-13,,Health,Affluent Customer,N,No,8,72008 7th Avenue,2200,NSW,Australia,8,0.79,0.79,0.79,0.79,233.0,233,1.1
237,Latrena,Walklate,Female,97,1943-10-05,Mechanical Systems Engineer,Telecommunications,High Net Worth,N,Yes,13,87 Sheridan Junction,2281,NSW,Australia,8,0.67,0.8375,1.046875,1.046875,237.0,237,1.094375
238,Mariquilla,Springthorpe,Female,30,1939-04-04,Director of Sales,,Mass Customer,N,Yes,8,811 Melrose Park,2224,NSW,Australia,10,0.51,0.6375,0.796875,0.67734375,237.0,237,1.094375
239,Leticia,Danovich,Female,84,1941-10-02,Design Engineer,Entertainment,Mass Customer,N,Yes,15,2 Logan Avenue,4307,QLD,Australia,1,0.9,1.125,1.40625,1.1953125,237.0,237,1.094375
240,Harman,Lynds,Male,4,1961-05-27,Professor,,Mass Customer,N,Yes,5,538 Gina Way,4105,QLD,Australia,8,0.43,0.5375,0.5375,0.456875,240.0,240,1.09
241,Farra,Matyushkin,Female,18,1974-01-24,VP Quality Control,Manufacturing,High Net Worth,N,Yes,9,52761 Portage Crossing,3170,VIC,Australia,9,0.94,1.1749999999999998,1.4687499999999998,1.4687499999999998,241.0,241,1.0875
242,Robenia,Monks,Female,94,1959-05-08,Nurse Practicioner,Manufacturing,Mass Customer,N,No,5,8 Fieldstone Street,4065,QLD,Australia,9,0.61,0.61,0.7625,0.648125,241.0,241,1.0875
243,Roman,Eastwood,Male,57,1969-09-21,Associate Professor,Manufacturing,Affluent Customer,N,Yes,16,8957 Anhalt Alley,3004,VIC,Australia,4,0.91,1.1375,1.1375,1.1375,241.0,241,1.0875
244,Solomon,Bruck,Male,29,1957-11-15,Junior Executive,Health,Mass Customer,N,No,12,5 High Crossing Junction,4556,QLD,Australia,8,0.6,0.6,0.6,0.51,244.0,244,1.08375
245,Krystyna,Airey,Female,2,1950-09-05,Safety Technician II,,Mass Customer,N,Yes,19,75760 Toban Junction,4006,QLD,Australia,5,0.87,1.0875,1.0875,0.924375,244.0,244,1.08375
246,Katharine,Redbourn,Female,8,1967-09-11,Recruiter,Manufacturing,Affluent Customer,N,Yes,4,178 Waxwing Trail,3134,VIC,Australia,10,0.81,1.0125000000000002,1.2656250000000002,1.2656250000000002,244.0,244,1.08375
247,Cammy,Stoneham,Female,74,1963-05-02,Business Systems Development Analyst,Financial Services,High Net Worth,N,No,14,8648 Green Alley,4680,QLD,Australia,3,0.6,0.6,0.6,0.6,244.0,244,1.08375
248,Ellsworth,Andrieux,Male,49,1971-04-26,Senior Cost Accountant,Financial Services,Affluent Customer,N,Yes,10,08912 Carberry Place,4036,QLD,Australia,7,0.8,1.0,1.0,1.0,248.0,248,1.078125
249,Federico,Leuty,Male,59,1978-12-11,Product Engineer,Property,High Net Worth,N,Yes,11,720 Menomonie Crossing,2380,NSW,Australia,4,0.75,0.9375,0.9375,0.9375,249.0,249,1.07578125
250,Ferdy,Hornung,Male,57,1974-05-14,Analog Circuit Design manager,Entertainment,High Net Worth,N,No,18,0686 Hallows Trail,4506,QLD,Australia,3,0.78,0.78,0.78,0.78,250.0,250,1.075
251,Sunny,Christescu,Female,90,1975-03-12,Cost Accountant,Financial Services,Mass Customer,N,No,11,6668 Blue Bill Park Plaza,2209,NSW,Australia,10,0.7,0.7,0.875,0.74375,250.0,250,1.075
252,Shadow,Yakutin,Male,85,1967-02-03,Software Test Engineer IV,Health,Affluent Customer,N,Yes,6,06 Dwight Park,4119,QLD,Australia,2,0.48,0.6,0.75,0.75,252.0,252,1.073125
253,Sharai,Priddie,Female,13,1961-01-16,Sales Representative,Retail,Mass Customer,N,No,9,5202 Crowley Place,2145,NSW,Australia,9,0.73,0.73,0.9125,0.775625,252.0,252,1.073125
254,Celeste,Fretson,Female,91,1980-09-16,Product Engineer,IT,Mass Customer,N,No,9,14709 Portage Avenue,2166,NSW,Australia,9,0.95,0.95,1.1875,1.009375,252.0,252,1.073125
255,Lea,Ilyinski,Female,75,1997-09-25,Structural Analysis Engineer,Financial Services,High Net Worth,N,No,12,895 Glendale Park,2026,NSW,Australia,12,0.99,0.99,1.2375,1.2375,252.0,252,1.073125
256,Dyann,Olechnowicz,Female,17,1939-07-17,Nuclear Power Engineer,Manufacturing,Mass Customer,N,No,16,0474 Bowman Hill,3031,VIC,Australia,10,0.9,0.9,1.125,0.9562499999999999,252.0,252,1.073125
257,Delly,Sunman,Female,49,1959-04-11,Account Coordinator,Retail,Mass Customer,N,No,15,652 Fuller Terrace,3206,VIC,Australia,12,0.81,0.81,1.0125000000000002,0.8606250000000001,252.0,252,1.073125
258,Malvin,Ryhorovich,Male,37,1962-03-03,Quality Control Specialist,,Mass Customer,N,No,5,5356 Sugar Plaza,4818,QLD,Australia,3,1.04,1.04,1.04,0.884,252.0,252,1.073125
259,Tanya,Hamberston,Female,45,2000-09-25,Product Engineer,,Mass Customer,N,Yes,9,7 Schiller Point,4113,QLD,Australia,6,0.73,0.9125,0.9125,0.775625,259.0,259,1.0625
