,transaction_id,product_id,customer_id,transaction_date,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,product_first_sold_date,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,Age
5712,5851,43,3150,4/23/2017,0.0,Approved,Solex,Standard,medium,medium,1151.96,649.49,36498.0,Morissa,Wolfendell,Female,66.0,1991-10-07,Sales Associate,Financial Services,Mass Customer,N,No,5.0,28.0
5713,5852,77,2400,10/10/2017,1.0,Approved,Norco Bicycles,Road,medium,large,1240.31,795.1,38193.0,Lindsay,Stollsteiner,Male,73.0,1978-02-28,Office Assistant III,Property,Mass Customer,N,Yes,22.0,42.0
5715,5854,42,2785,1/21/2017,0.0,Approved,OHM Cycles,Road,medium,small,1810.0,1610.9,37873.0,Gennifer,Baily,Female,9.0,1981-07-31,Human Resources Manager,Financial Services,Mass Customer,N,No,8.0,38.0
5716,5855,90,2637,8/5/2017,1.0,Approved,Norco Bicycles,Standard,low,medium,363.01,290.41,42458.0,Marcile,Christley,Female,28.0,1972-07-30,Help Desk Operator,Retail,Mass Customer,N,Yes,11.0,47.0
5717,5856,100,2715,5/18/2017,0.0,Approved,Norco Bicycles,Road,medium,medium,1036.59,206.35,33364.0,Umberto,Cappineer,Male,27.0,1962-11-14,Civil Engineer,Manufacturing,Affluent Customer,N,No,11.0,57.0
5719,5858,87,2454,8/31/2017,0.0,Approved,Giant Bicycles,Standard,high,medium,1179.0,707.4,36145.0,Gene,Brome,Female,81.0,1960-02-13,Senior Sales Associate,Property,Mass Customer,N,Yes,12.0,60.0
5720,5859,14,401,8/19/2017,0.0,Approved,Trek Bicycles,Standard,medium,small,1386.84,1234.29,37838.0,Halette,Helling,Female,56.0,1986-12-11,Assistant Professor,Retail,Mass Customer,N,No,15.0,33.0
5721,5860,52,2872,12/6/2017,1.0,Approved,OHM Cycles,Road,medium,medium,1280.28,829.51,37823.0,Tabbi,Tyght,Female,52.0,1974-02-17,Assistant Professor,Health,Affluent Customer,N,Yes,17.0,46.0
5723,5863,0,705,3/21/2017,1.0,Approved,WeareA2B,Standard,medium,medium,60.34,45.26,34165.0,Eddie,Yekel,Male,48.0,1964-01-16,Quality Engineer,Retail,High Net Worth,N,No,14.0,56.0
5726,5866,80,2914,2/20/2017,0.0,Approved,OHM Cycles,Touring,low,medium,1073.07,933.84,42226.0,Jessamine,Brazear,Female,76.0,1982-11-06,Health Coach IV,Health,Affluent Customer,N,Yes,11.0,37.0
5727,5867,10,2998,2/18/2017,1.0,Approved,Solex,Standard,medium,medium,1945.43,333.18,41922.0,Quintana,Housley,Female,34.0,2000-12-19,Nurse Practicioner,Manufacturing,High Net Worth,N,Yes,2.0,19.0
5728,5868,35,1821,11/23/2017,0.0,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,40784.0,Fields,Bayne,Male,89.0,1972-03-09,Web Developer IV,Entertainment,High Net Worth,N,Yes,15.0,48.0
5735,5875,87,2481,1/23/2017,0.0,Approved,Giant Bicycles,Standard,high,medium,1179.0,707.4,37874.0,Amber,Ruslin,Female,71.0,1979-01-20,Chief Design Engineer,Manufacturing,Mass Customer,N,Yes,12.0,41.0
5736,5876,95,1713,6/21/2017,0.0,Approved,OHM Cycles,Touring,low,medium,1073.07,933.84,35455.0,Jennica,Jeeks,Female,89.0,1988-11-08,Teacher,Retail,High Net Worth,N,Yes,21.0,31.0
5737,5877,67,138,1/1/2017,0.0,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84,38647.0,Onofredo,Franc,Male,5.0,1985-04-28,Recruiter,Financial Services,Affluent Customer,N,Yes,13.0,35.0
5738,5878,73,797,8/18/2017,1.0,Approved,Solex,Standard,medium,medium,1945.43,333.18,37499.0,Meridel,Rawet,Female,51.0,1973-10-20,Internal Auditor,Financial Services,Mass Customer,N,No,19.0,46.0
5739,5879,20,242,8/21/2017,0.0,Approved,Trek Bicycles,Standard,medium,small,1775.81,1580.47,40303.0,Taite,Droghan,Male,17.0,1992-03-20,Nurse,Property,Affluent Customer,N,No,8.0,28.0
5740,5880,56,597,4/18/2017,0.0,Approved,OHM Cycles,Standard,medium,medium,183.86,137.9,35707.0,Cassandra,Aucoate,Female,6.0,1954-12-10,Recruiter,Manufacturing,Mass Customer,N,No,6.0,65.0
5741,5881,89,2294,10/18/2017,1.0,Approved,WeareA2B,Touring,medium,large,1362.99,57.74,34079.0,Skipton,Cordie,Male,25.0,1987-06-16,Associate Professor,Manufacturing,Mass Customer,N,No,21.0,33.0
5742,5882,44,322,1/9/2017,0.0,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,41064.0,De,Denington,Female,19.0,1977-03-10,Research Associate,Financial Services,Mass Customer,N,Yes,11.0,43.0
5745,5885,88,1118,7/10/2017,0.0,Approved,Norco Bicycles,Standard,medium,medium,1198.46,381.1,37874.0,Colline,Coulman,Female,95.0,1975-12-19,Sales Representative,Retail,Mass Customer,N,Yes,9.0,44.0
5747,5887,38,1825,10/28/2017,0.0,Approved,Solex,Standard,medium,medium,1577.53,826.51,40618.0,Arv,Whitsey,Male,82.0,1967-02-14,VP Quality Control,Financial Services,Mass Customer,N,Yes,17.0,53.0
5748,5889,81,1407,1/19/2017,0.0,Approved,Norco Bicycles,Standard,medium,small,586.45,521.94,35667.0,Tamarah,Sobtka,Female,43.0,1980-10-04,Structural Analysis Engineer,Manufacturing,Mass Customer,N,Yes,9.0,39.0
5749,5890,13,328,2/6/2017,0.0,Approved,Solex,Standard,medium,medium,1163.89,589.27,42560.0,Bernice,Kings,Female,87.0,1991-04-11,Senior Developer,Manufacturing,Mass Customer,N,No,12.0,29.0
5751,5892,3,1590,3/22/2017,0.0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,37823.0,Crystie,Fontanet,Female,8.0,1965-12-09,Assistant Manager,Retail,Mass Customer,N,No,14.0,54.0
5754,5896,2,2605,4/3/2017,1.0,Approved,Giant Bicycles,Road,low,small,590.26,525.33,40553.0,Had,Gilling,Male,50.0,1965-02-03,Marketing Manager,Health,High Net Worth,N,Yes,18.0,55.0
5756,5898,0,289,9/28/2017,1.0,Approved,Solex,Standard,medium,medium,478.16,298.72,34143.0,Modestia,Lithgow,Female,43.0,1970-04-12,Clinical Specialist,Health,High Net Worth,N,No,10.0,50.0
5757,5899,73,2937,12/23/2017,0.0,Approved,Solex,Standard,medium,medium,1945.43,333.18,37499.0,Belia,Mitchener,Female,47.0,1974-07-29,Computer Systems Analyst I,Financial Services,Mass Customer,N,No,15.0,45.0
5760,5902,15,172,2/22/2017,0.0,Approved,Norco Bicycles,Standard,low,medium,958.74,748.9,41345.0,Hilton,Carney,Male,54.0,1988-09-12,Editor,Manufacturing,Affluent Customer,N,Yes,6.0,31.0
5761,5903,0,329,5/21/2017,0.0,Approved,Trek Bicycles,Road,medium,medium,533.51,400.13,37220.0,Garvy,Berthel,Male,25.0,1984-11-20,Account Representative IV,Entertainment,High Net Worth,N,Yes,12.0,35.0
5762,5904,2,2274,8/15/2017,1.0,Approved,Solex,Standard,medium,medium,71.49,53.62,38573.0,Nada,Reinert,Female,15.0,1979-11-26,Budget/Accounting Analyst IV,Manufacturing,Mass Customer,N,Yes,13.0,40.0
5763,5905,0,664,10/7/2017,1.0,Approved,OHM Cycles,Standard,medium,medium,183.86,137.9,35707.0,Mathe,Scatcher,Male,38.0,1994-10-05,Research Nurse,Health,High Net Worth,N,No,4.0,25.0
5764,5906,34,2922,7/5/2017,1.0,Cancelled,Norco Bicycles,Road,high,large,774.53,464.72,35560.0,Wallache,Tatlow,Male,34.0,1981-12-10,Sales Associate,Manufacturing,Affluent Customer,N,Yes,10.0,38.0
5765,5907,29,2763,2/5/2017,1.0,Approved,Norco Bicycles,Road,medium,medium,543.39,407.54,37698.0,Dalila,Snawdon,Female,30.0,1979-03-04,Actuary,Financial Services,Mass Customer,N,Yes,10.0,41.0
5766,5908,71,1047,8/14/2017,0.0,Approved,Solex,Standard,high,large,1842.92,1105.75,34996.0,Standford,Tanswill,Male,39.0,1978-09-03,VP Accounting,Financial Services,Affluent Customer,N,No,11.0,41.0
5767,5909,74,3482,1/11/2017,1.0,Approved,WeareA2B,Standard,medium,medium,1228.07,400.91,42226.0,Roch,Rilston,Female,71.0,2000-05-18,Clinical Specialist,Health,Affluent Customer,N,Yes,2.0,20.0
5768,5910,25,41,2/22/2017,0.0,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,42404.0,Basilius,Coupe,Male,64.0,1976-04-14,Food Chemist,Health,Mass Customer,N,No,16.0,44.0
5769,5911,86,617,9/2/2017,0.0,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,38206.0,Idell,Cole,Female,81.0,1960-08-01,Director of Sales,Property,Mass Customer,N,No,15.0,59.0
5770,5912,14,3450,4/24/2017,1.0,Approved,Trek Bicycles,Standard,medium,small,1386.84,1234.29,37838.0,Brooke,Durman,Female,85.0,1993-09-16,Safety Technician III,Retail,Mass Customer,N,No,6.0,26.0
5771,5913,87,3234,8/3/2017,1.0,Approved,Giant Bicycles,Standard,high,medium,1179.0,707.4,35667.0,Mata,Hoggan,Male,35.0,1987-04-15,Safety Technician II,Manufacturing,Mass Customer,N,Yes,19.0,33.0
5772,5914,26,2780,6/4/2017,1.0,Approved,WeareA2B,Standard,medium,medium,1992.93,762.63,33888.0,Papageno,Beare,Male,77.0,1985-11-16,Actuary,Financial Services,Affluent Customer,N,Yes,16.0,34.0
5773,5915,59,3306,4/15/2017,1.0,Approved,Solex,Standard,medium,large,1061.56,733.58,34170.0,Iggy,Whorton,Male,50.0,1991-05-17,Compensation Analyst,Financial Services,Mass Customer,N,No,7.0,29.0
5774,5916,23,1424,10/15/2017,1.0,Approved,Norco Bicycles,Standard,medium,medium,1198.46,381.1,36833.0,Allin,Arbuckel,Male,56.0,1974-08-03,Occupational Therapist,Health,High Net Worth,N,Yes,14.0,45.0
5778,5920,98,115,9/21/2017,1.0,Approved,Trek Bicycles,Standard,high,medium,358.39,215.03,38002.0,Alberik,Mereweather,Male,77.0,1981-12-21,Account Executive,Health,Mass Customer,N,No,18.0,38.0
5780,5922,8,1831,4/1/2017,1.0,Approved,Solex,Road,medium,small,1703.52,1516.13,40649.0,Lisle,Yokel,Male,58.0,1977-11-13,Social Worker,Health,Mass Customer,N,No,15.0,42.0
5783,5925,51,100,5/10/2017,1.0,Approved,OHM Cycles,Standard,high,medium,2005.66,1203.4,41848.0,Tripp,Steed,Male,80.0,1968-05-11,General Manager,Financial Services,Mass Customer,N,Yes,4.0,52.0
5784,5926,21,1556,6/28/2017,0.0,Approved,Solex,Standard,medium,large,1071.23,380.74,36334.0,Bartram,Brownstein,Male,30.0,1986-03-25,Web Developer III,Manufacturing,Mass Customer,N,Yes,6.0,34.0
5788,5930,26,1693,4/13/2017,0.0,Approved,WeareA2B,Standard,medium,medium,1992.93,762.63,34115.0,Ring,Birchall,Male,79.0,1965-11-06,Accountant I,Health,Affluent Customer,N,No,4.0,54.0
5789,5931,53,490,7/25/2017,0.0,Approved,OHM Cycles,Standard,medium,medium,795.34,101.58,35470.0,Lida,Boynton,Female,44.0,1992-06-15,Environmental Tech,Argiculture,Mass Customer,N,No,6.0,28.0
5790,5932,41,1164,5/30/2017,0.0,Approved,Solex,Road,medium,medium,416.98,312.74,35560.0,Gilligan,Mowat,Female,97.0,1977-01-09,Food Chemist,Health,Mass Customer,N,Yes,17.0,43.0
5791,5933,44,2651,2/13/2017,1.0,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,34071.0,Silvan,Ellison,Male,10.0,1978-10-20,Nuclear Power Engineer,Manufacturing,Mass Customer,N,Yes,10.0,41.0
5792,5934,74,3475,6/25/2017,1.0,Approved,WeareA2B,Standard,medium,medium,1228.07,400.91,36668.0,Correna,Goldsberry,Female,12.0,1985-08-31,Director of Sales,Retail,Affluent Customer,N,No,3.0,34.0
5793,5935,45,1586,12/14/2017,0.0,Approved,Trek Bicycles,Road,low,medium,980.37,234.43,38258.0,Madelena,Risson,Female,47.0,1985-12-27,Physical Therapy Assistant,Manufacturing,High Net Worth,N,No,15.0,34.0
5796,5938,31,1344,12/9/2017,0.0,Approved,Giant Bicycles,Standard,medium,medium,230.91,173.18,39031.0,Renelle,Tutin,Female,20.0,1995-11-02,Tax Accountant,Manufacturing,Mass Customer,N,No,4.0,24.0
5797,5939,59,1452,12/28/2017,1.0,Approved,Solex,Standard,medium,large,1061.56,733.58,34170.0,Zachery,Hamber,Male,99.0,1955-12-31,Safety Technician III,Retail,Mass Customer,N,No,20.0,64.0
5799,5941,26,3432,8/5/2017,1.0,Approved,WeareA2B,Standard,medium,medium,1992.93,762.63,33455.0,Max,Cloney,Female,99.0,1988-11-27,Junior Executive,Argiculture,Mass Customer,N,Yes,2.0,31.0
5803,5945,47,2680,4/19/2017,1.0,Approved,Trek Bicycles,Road,low,small,1720.7,1531.42,41064.0,Noella,Firk,Female,0.0,1959-05-11,Financial Analyst,Financial Services,Mass Customer,N,Yes,14.0,61.0
5804,5946,0,3101,10/2/2017,1.0,Approved,Norco Bicycles,Standard,low,medium,363.01,290.41,38482.0,Paxton,Lermit,Male,68.0,1987-08-27,Geological Engineer,Manufacturing,High Net Worth,N,No,12.0,32.0
5806,5948,12,2509,4/27/2017,1.0,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6,38216.0,Danya,Beadles,Male,99.0,1971-07-07,Help Desk Technician,Financial Services,Mass Customer,N,No,7.0,48.0
5807,5949,53,473,9/6/2017,1.0,Approved,OHM Cycles,Standard,medium,medium,795.34,101.58,33259.0,Benji,O'Shirine,Male,2.0,1977-03-13,Junior Executive,Health,Mass Customer,N,Yes,20.0,43.0
5808,5950,20,1160,7/20/2017,0.0,Approved,Trek Bicycles,Standard,medium,small,1775.81,1580.47,40303.0,Trisha,Nisuis,Female,98.0,1965-04-08,Speech Pathologist,IT,Affluent Customer,N,No,10.0,55.0
5809,5951,100,798,6/29/2017,0.0,Approved,Trek Bicycles,Standard,medium,small,1386.84,1234.29,37838.0,Dorita,Blackburne,Female,22.0,1988-05-20,Teacher,Financial Services,High Net Worth,N,No,5.0,32.0
5810,5952,87,2109,12/28/2017,1.0,Approved,OHM Cycles,Standard,medium,medium,1636.9,44.71,36668.0,Grazia,Vinson,Female,14.0,1965-04-13,Account Representative II,Health,High Net Worth,N,Yes,18.0,55.0
5811,5953,58,698,5/17/2017,1.0,Approved,OHM Cycles,Road,medium,medium,1280.28,829.51,38339.0,Ellette,Fahy,Female,90.0,1996-07-20,Human Resources Manager,Manufacturing,High Net Worth,N,Yes,1.0,23.0
5812,5954,23,2015,4/18/2017,1.0,Approved,Norco Bicycles,Mountain,low,small,688.63,612.88,34244.0,Charyl,Sibson,Female,6.0,1974-02-19,Health Coach IV,Health,Affluent Customer,N,No,7.0,46.0
5813,5955,6,2959,8/18/2017,1.0,Approved,OHM Cycles,Standard,high,medium,227.88,136.73,38216.0,Max,Gonthier,Female,1.0,1953-11-23,Registered Nurse,Health,Mass Customer,N,Yes,11.0,66.0
5814,5956,21,10,6/20/2017,1.0,Approved,Solex,Standard,medium,large,1071.23,380.74,34115.0,Fiorenze,Birdall,Female,49.0,1988-10-11,Senior Quality Engineer,Financial Services,Mass Customer,N,Yes,20.0,31.0
5815,5957,10,1157,6/23/2017,1.0,Approved,WeareA2B,Touring,medium,medium,1466.68,363.25,42560.0,Saunder,Camerati,Male,69.0,1974-04-03,Research Nurse,Health,Affluent Customer,N,Yes,17.0,46.0
5816,5958,73,2207,6/29/2017,1.0,Approved,Solex,Standard,medium,medium,1945.43,333.18,36668.0,Junia,Gall,Female,93.0,1979-01-26,Web Designer IV,Manufacturing,Mass Customer,N,Yes,16.0,41.0
5817,5959,31,1693,1/27/2017,0.0,Approved,Giant Bicycles,Standard,medium,medium,230.91,173.18,39031.0,Ring,Birchall,Male,79.0,1965-11-06,Accountant I,Health,Affluent Customer,N,No,4.0,54.0
5819,5961,19,329,1/25/2017,1.0,Approved,Trek Bicycles,Mountain,low,medium,574.64,459.71,42560.0,Garvy,Berthel,Male,25.0,1984-11-20,Account Representative IV,Entertainment,High Net Worth,N,Yes,12.0,35.0
5820,5962,75,3402,10/6/2017,1.0,Approved,Giant Bicycles,Touring,medium,large,1873.97,863.95,38859.0,Krystyna,Scadden,Female,73.0,1985-05-04,Statistician II,Retail,Mass Customer,N,No,10.0,35.0
5822,5965,86,2592,6/16/2017,1.0,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,36145.0,Archibaldo,Argrave,Male,84.0,1995-06-19,Help Desk Operator,Financial Services,Mass Customer,N,Yes,1.0,25.0
5824,5967,34,3461,7/19/2017,1.0,Approved,Norco Bicycles,Road,high,large,774.53,464.72,36361.0,Nigel,Izard,Male,28.0,1962-11-30,Environmental Specialist,Manufacturing,Affluent Customer,N,Yes,17.0,57.0
5826,5969,8,2667,5/26/2017,0.0,Approved,Solex,Road,medium,small,1703.52,1516.13,38216.0,Randene,Brown,Female,65.0,1958-07-17,Product Engineer,Manufacturing,Affluent Customer,N,Yes,6.0,61.0
5827,5970,15,27,6/18/2017,0.0,Approved,Norco Bicycles,Standard,low,medium,958.74,748.9,41345.0,Garvin,Klees,Male,37.0,1978-09-25,Research Nurse,Health,Mass Customer,N,Yes,12.0,41.0
5829,5972,58,937,1/20/2017,0.0,Approved,OHM Cycles,Standard,medium,medium,912.52,141.4,42295.0,Nikolos,McKyrrelly,Male,65.0,1985-11-15,Human Resources Assistant IV,Manufacturing,Affluent Customer,N,No,15.0,34.0
5830,5973,88,2638,8/10/2017,0.0,Approved,Norco Bicycles,Standard,medium,medium,1198.46,381.1,36145.0,Moritz,Brognot,Male,1.0,1977-02-10,Budget/Accounting Analyst III,IT,Mass Customer,N,Yes,15.0,43.0
5833,5976,57,3132,10/11/2017,0.0,Approved,WeareA2B,Touring,medium,large,1890.39,260.14,40779.0,Nicko,Artois,Male,33.0,1975-04-15,Sales Representative,Retail,Mass Customer,N,Yes,7.0,45.0
5834,5977,36,3310,6/24/2017,0.0,Approved,Solex,Standard,low,medium,945.04,507.58,40618.0,Bethany,Jarrell,Female,83.0,1961-10-29,VP Marketing,Property,Affluent Customer,N,Yes,12.0,58.0
5835,5979,58,75,5/26/2017,0.0,Approved,OHM Cycles,Standard,medium,medium,912.52,141.4,42295.0,Dollie,Sealy,Female,28.0,1978-07-15,VP Product Management,Property,Mass Customer,N,No,19.0,41.0
5836,5980,44,1086,9/15/2017,0.0,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,41009.0,Ezechiel,Parnall,Male,84.0,1989-06-21,Statistician IV,Property,Mass Customer,N,Yes,4.0,31.0
5839,5983,82,1875,9/11/2017,1.0,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,33888.0,Amory,Bohler,Male,4.0,1959-01-11,Staff Scientist,Retail,High Net Worth,N,Yes,19.0,61.0
5841,5985,39,12,8/21/2017,0.0,Approved,Giant Bicycles,Standard,medium,large,1812.75,582.48,40336.0,Sawyere,Flattman,Male,58.0,1994-07-21,Nuclear Power Engineer,Manufacturing,Mass Customer,N,No,8.0,25.0
5842,5986,92,973,6/12/2017,1.0,Approved,WeareA2B,Touring,medium,large,1890.39,260.14,33259.0,Annabella,Hebron,Female,46.0,1979-08-02,Data Coordiator,Health,High Net Worth,N,No,15.0,40.0
5843,5987,25,3143,7/30/2017,1.0,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,42404.0,Corabelle,Streatfeild,Female,0.0,1996-10-24,Chief Design Engineer,Manufacturing,Mass Customer,N,No,5.0,23.0
5844,5988,0,511,12/19/2017,0.0,Approved,Norco Bicycles,Standard,low,medium,363.01,290.41,38482.0,Theo,Tolmie,Female,92.0,1982-12-02,Dental Hygienist,Health,High Net Worth,N,No,10.0,37.0
5846,5990,12,465,5/11/2017,0.0,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6,37838.0,Alina,Wilsey,Female,54.0,1976-03-27,Developer III,Financial Services,Affluent Customer,N,Yes,14.0,44.0
5847,5991,77,2874,4/5/2017,1.0,Approved,Norco Bicycles,Road,medium,large,1240.31,795.1,40553.0,Delores,Ashcroft,Female,97.0,1977-12-28,Nuclear Power Engineer,Manufacturing,Affluent Customer,N,No,18.0,42.0
5849,5993,55,1084,3/15/2017,1.0,Approved,Trek Bicycles,Road,medium,large,1894.19,598.76,37823.0,Serena,Jagson,Female,54.0,1994-05-18,Accounting Assistant I,Retail,Affluent Customer,N,No,8.0,26.0
5850,5994,0,1738,2/7/2017,1.0,Approved,Trek Bicycles,Road,medium,medium,533.51,400.13,37668.0,Frankie,Seydlitz,Male,39.0,1985-04-24,Engineer II,Argiculture,High Net Worth,N,Yes,14.0,35.0
5851,5995,65,99,9/8/2017,1.0,Approved,WeareA2B,Standard,medium,medium,1807.45,778.69,42145.0,Reggie,Mulliner,Male,97.0,1998-06-13,VP Accounting,Financial Services,Mass Customer,N,No,3.0,22.0
5852,5996,0,281,6/28/2017,0.0,Approved,Trek Bicycles,Road,medium,medium,290.62,215.14,35667.0,Jeanette,Sizzey,Female,51.0,1972-12-27,Cost Accountant,Financial Services,High Net Worth,N,Yes,8.0,47.0
5853,5997,76,1947,6/8/2017,0.0,Approved,WeareA2B,Standard,low,medium,642.31,513.85,38193.0,Gretta,Patrone,Female,66.0,1963-12-11,Geologist II,Telecommunications,Affluent Customer,N,Yes,18.0,56.0
5854,5998,0,37,7/5/2017,1.0,Approved,Solex,Standard,medium,medium,478.16,298.72,34143.0,Laurie,Dwerryhouse,Female,46.0,1985-12-22,Social Worker,Health,High Net Worth,N,No,16.0,34.0
5855,5999,66,2372,11/12/2017,0.0,Approved,Giant Bicycles,Road,low,small,590.26,525.33,40487.0,Jim,Shoppee,Male,14.0,1977-09-10,Clinical Specialist,Health,Affluent Customer,N,No,10.0,42.0
5857,6001,46,3058,1/18/2017,0.0,Approved,Solex,Standard,low,medium,1289.85,74.51,38573.0,Hamnet,Kibblewhite,Male,67.0,1986-10-10,Human Resources Manager,Manufacturing,Mass Customer,N,Yes,16.0,33.0
5858,6002,29,2878,11/11/2017,0.0,Approved,Norco Bicycles,Road,medium,medium,543.39,407.54,42458.0,Sauveur,Skeel,Male,73.0,1985-10-31,Analog Circuit Design manager,Property,Mass Customer,N,Yes,9.0,34.0
5859,6003,9,3026,1/9/2017,1.0,Approved,OHM Cycles,Road,medium,medium,742.54,667.4,34586.0,Minda,Pendrid,Female,11.0,1988-11-21,Account Representative III,Property,Mass Customer,N,Yes,5.0,31.0
5863,6007,80,2198,11/25/2017,0.0,Approved,OHM Cycles,Touring,low,medium,1073.07,933.84,35667.0,Marijn,Arnoll,Male,1.0,1998-01-10,Editor,Property,Affluent Customer,N,Yes,1.0,22.0
5865,6009,64,579,7/16/2017,1.0,Approved,Trek Bicycles,Standard,medium,large,1469.44,596.55,41047.0,Cathlene,Bellas,Female,89.0,1974-06-11,Software Engineer II,Health,Mass Customer,N,No,12.0,46.0
5867,6011,81,1302,5/22/2017,1.0,Approved,Norco Bicycles,Standard,medium,small,586.45,521.94,36145.0,Ericka,Eggers,Female,29.0,1998-05-03,Biostatistician I,Financial Services,Affluent Customer,N,Yes,2.0,22.0
5869,6013,11,1385,1/11/2017,0.0,Approved,Giant Bicycles,Standard,high,medium,1274.93,764.96,39298.0,Melesa,Priddy,Female,39.0,1957-08-17,Cost Accountant,Financial Services,Mass Customer,N,No,16.0,62.0
5870,6014,65,305,2/12/2017,0.0,Approved,WeareA2B,Standard,medium,medium,1807.45,778.69,42145.0,Cris,Chellam,Female,1.0,1974-03-17,Financial Analyst,Financial Services,Mass Customer,N,No,11.0,46.0
5872,6016,56,252,9/24/2017,0.0,Approved,OHM Cycles,Standard,medium,medium,183.86,137.9,36146.0,Anthea,Ruskin,Female,39.0,1983-01-24,Account Coordinator,Property,Mass Customer,N,Yes,13.0,37.0
5873,6017,34,1900,9/3/2017,1.0,Approved,Norco Bicycles,Road,high,large,774.53,464.72,35560.0,Noland,Larder,Male,67.0,1980-08-15,Safety Technician II,Financial Services,Affluent Customer,N,Yes,19.0,39.0
5875,6019,0,2240,11/9/2017,1.0,Approved,Norco Bicycles,Standard,low,medium,363.01,290.41,42458.0,Niall,Hallifax,Male,4.0,1969-07-25,Automation Specialist III,Manufacturing,High Net Worth,N,Yes,16.0,50.0
5876,6020,1,2967,12/20/2017,0.0,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,42688.0,Dud,Coom,Male,60.0,1979-09-14,Social Worker,Health,Affluent Customer,N,Yes,20.0,40.0
5877,6021,8,459,11/22/2017,1.0,Approved,Solex,Road,medium,small,1703.52,1516.13,38693.0,Bel,Cheeke,Female,88.0,1986-08-04,Civil Engineer,Manufacturing,Mass Customer,N,Yes,13.0,33.0
5878,6022,2,630,9/14/2017,0.0,Approved,Solex,Standard,medium,medium,71.49,53.62,37659.0,D'arcy,Rowden,Male,90.0,1986-08-11,Statistician III,Property,Affluent Customer,N,Yes,17.0,33.0
5879,6023,97,3020,4/28/2017,0.0,Approved,OHM Cycles,Road,medium,medium,742.54,667.4,35378.0,Witty,McArthur,Male,13.0,1965-12-24,Chemical Engineer,Manufacturing,High Net Worth,N,Yes,10.0,54.0
5881,6025,92,1504,2/28/2017,1.0,Approved,WeareA2B,Standard,medium,small,1415.01,1259.36,37874.0,Coop,Corneck,Male,98.0,1975-01-03,Data Coordiator,Property,Affluent Customer,N,Yes,13.0,45.0
5882,6026,17,1641,1/19/2017,1.0,Approved,Solex,Standard,high,medium,1024.66,614.8,35378.0,Vasily,Sturgeon,Male,29.0,1972-09-01,Community Outreach Specialist,Financial Services,Mass Customer,N,No,14.0,47.0
5883,6027,13,1267,8/11/2017,0.0,Approved,Solex,Standard,medium,medium,1163.89,589.27,41345.0,Leopold,Dainton,Male,39.0,1979-06-03,Safety Technician IV,Entertainment,Affluent Customer,N,Yes,19.0,41.0
5884,6028,5,829,6/29/2017,0.0,Approved,Giant Bicycles,Standard,high,medium,1129.13,677.48,38573.0,Byran,Goodfield,Male,84.0,2001-01-22,Environmental Tech,Financial Services,High Net Worth,N,Yes,2.0,19.0
5885,6029,49,3030,9/3/2017,0.0,Approved,Trek Bicycles,Road,medium,medium,533.51,400.13,41064.0,Flor,Agnew,Female,68.0,1998-05-21,Technical Writer,Manufacturing,Affluent Customer,N,No,3.0,22.0
5886,6030,35,380,6/3/2017,0.0,Approved,Trek Bicycles,Standard,low,medium,1057.51,154.4,34527.0,Teriann,Birdsey,Female,66.0,1956-05-15,Structural Engineer,Property,Mass Customer,N,No,17.0,64.0
5888,6032,22,1777,1/3/2017,0.0,Approved,WeareA2B,Standard,medium,medium,60.34,45.26,34165.0,Lucinda,Jerok,Female,47.0,1994-05-02,Sales Representative,Retail,Affluent Customer,N,No,1.0,26.0
5889,6033,32,201,8/15/2017,0.0,Approved,Giant Bicycles,Standard,medium,medium,642.7,211.37,37337.0,Salem,Huie,Male,45.0,1966-04-20,Design Engineer,Manufacturing,Mass Customer,N,Yes,11.0,54.0
5890,6034,60,2509,12/5/2017,0.0,Approved,Giant Bicycles,Standard,high,small,1977.36,1759.85,40779.0,Danya,Beadles,Male,99.0,1971-07-07,Help Desk Technician,Financial Services,Mass Customer,N,No,7.0,48.0
5891,6035,85,425,12/5/2017,1.0,Approved,WeareA2B,Standard,medium,medium,752.64,205.36,36145.0,Michaeline,Bordman,Female,60.0,1953-11-19,Sales Representative,Retail,Mass Customer,N,Yes,20.0,66.0
5892,6036,71,1177,9/19/2017,1.0,Approved,Solex,Standard,high,large,1842.92,1105.75,38193.0,Bobbette,Pozzi,Female,47.0,1953-08-31,Food Chemist,Health,Affluent Customer,N,Yes,6.0,66.0
